NewID,TotalYearsGiven,TotalDonations,FirstYear,LastYear,MultiyearGiver,DecemberGivings,YearsSinceLastGift,Most_recent_year_given,Frequency_score,AverageDonationPerYear,Gender,Age,State,AgeGroup
100545528,3,1235,2008,2010,1,0,6,2010,0.141804757,411.6666667,Male,38,FL,30-39
100404414,9,1225,2007,2015,1,0.666666667,1,2015,2.320097586,204.1666667,Female,68,MN,60-69
100191113,14,1209,2003,2016,1,0.1,0,2016,-0.265746805,120.9,Male,61,MA,60-69
100987281,7,1206.32,2010,2016,1,0.428571429,0,2016,2.149447917,172.3314286,Male,57,OR,50-59
100639539,21,1202,1996,2016,1,0.6,0,2016,2.34820459,120.2,Male,62,CA,60-69
100695856,7,1200,2009,2015,1,0.4,1,2015,-0.199494581,171.4285714,Male,20,IL,20-29
101517434,10,1185,2007,2016,1,0,0,2016,-0.03386402,148.125,Unknown,45,PA,40-49
100142343,15,1185,2002,2016,1,0.2,0,2016,0.113697753,118.5,Unknown,42,CA,40-49
100789637,11,1180,2006,2016,1,0.25,0,2016,0.141804757,196.6666667,Unknown,104,IL,100+
101189082,32,1175,1985,2016,1,0.263157895,0,2016,0.570806401,61.84210526,Unknown,60,WI,50-59
100111126,20,1161,1997,2016,1,0.125,0,2016,0.361390727,72.5625,Male,46,NA,40-49
100108980,14,1160,2000,2013,1,0.375,3,2013,-0.297367185,145,Unknown,27,OH,20-29
100380156,38,1157.41,1979,2016,1,0.3125,0,2016,0.901572215,36.1690625,Unknown,44,NC,40-49
101339727,7,1153,1996,2002,1,0.571428571,14,2002,1.848301443,164.7142857,Male,65,IL,60-69
100981964,7,1150,2010,2016,1,0,0,2016,-0.350067818,287.5,Male,88,NY,80-89
101505816,9,1150,2008,2016,1,0.2,0,2016,1.800118007,230,Unknown,58,NY,50-59
101029480,6,1145,2011,2016,1,0,0,2016,0.49314231,190.8333333,Unknown,84,WV,80-89
100645614,8,1118.32,2009,2016,1,0.625,0,2016,0.703944842,139.79,Male,66,TX,60-69
101198684,9,1115,2008,2016,1,0.333333333,0,2016,3.865982819,185.8333333,Male,59,NJ,50-59
100347426,8,1104,2006,2013,1,0.285714286,3,2013,0.583486252,157.7142857,Unknown,50,WA,40-49
100614401,4,1100,2009,2012,1,0,4,2012,-0.244666552,275,Unknown,60,NY,50-59
100023772,5,1100,1994,1998,1,0.2,18,1998,0.366660791,220,Unknown,75,TX,70-79
100032701,3,1100,1994,1996,1,0.666666667,20,1996,0.56340982,366.6666667,Unknown,65,MN,60-69
100947683,2,1080,2010,2011,1,0,5,2011,0.071537246,540,Unknown,71,CA,70-79
101129447,5,1070,2012,2016,1,0.4,0,2016,2.559007122,214,Female,65,NJ,60-69
100023647,24,1067,1993,2016,1,0.111111111,0,2016,-0.068997775,59.27777778,Unknown,42,NH,40-49
100032666,20,1055,1994,2013,1,0.5,3,2013,0.49314231,87.91666667,Male,52,IN,50-59
101049880,7,1052,2009,2015,1,0.285714286,1,2015,1.908530738,150.2857143,Female,78,IL,70-79
100920755,1,1025,2010,2010,0,0,6,2010,-0.139265286,1025,Unknown,84,PA,80-89
101512077,22,1025,1995,2016,1,0.230769231,0,2016,0.639082524,78.84615385,Female,63,FL,60-69
100588173,11,990,2003,2013,1,0.142857143,3,2013,-0.139265286,141.4285714,Unknown,43,MI,40-49
100075591,19,985,1997,2015,1,0.157894737,1,2015,0.171391077,51.84210526,Male,53,AZ,50-59
100150833,13,969,2004,2016,1,0.5,0,2016,1.61742248,161.5,Unknown,31,TX,30-39
100930198,7,966,2010,2016,1,0.142857143,0,2016,1.607384264,138,Unknown,96,WI,90-99
100433636,25,965,1992,2016,1,0.545454545,0,2016,0.090701113,87.72727273,Male,41,ID,40-49
100686113,8,960,2009,2016,1,0.625,0,2016,2.337664463,120,Male,70,TX,60-69
100339674,11,958,2006,2016,1,0.727272727,0,2016,3.118592025,87.09090909,Unknown,92,NC,90-99
100585063,11,950,2006,2016,1,0.090909091,0,2016,0.244012045,86.36363636,Female,53,MI,50-59
100000605,26,945,1991,2016,1,0.1875,0,2016,-0.218316235,59.0625,Male,57,TX,50-59
101078760,12,940,2005,2016,1,0.272727273,0,2016,0.320667511,85.45454545,Unknown,50,CA,40-49
100023702,17,935,1993,2009,1,0.357142857,7,2009,0.794288784,66.78571429,Female,55,NA,50-59
101264582,4,930,2013,2016,1,0.25,0,2016,0.703944842,232.5,Unknown,49,TX,40-49
100925432,4,930,2010,2013,1,0.25,3,2013,0.282339778,232.5,Unknown,92,MO,90-99
101494253,8,923,2009,2016,1,0.125,0,2016,1.230951171,115.375,Female,71,SC,70-79
101205515,3,921,2013,2015,1,0.666666667,1,2015,3.374110245,307,Male,64,TX,60-69
100753915,8,892,2009,2016,1,0.285714286,0,2016,1.366467085,127.4285714,Male,67,OH,60-69
101099998,5,890,2011,2015,1,0.6,1,2015,0.788265854,178,Unknown,65,CO,60-69
100995616,6,885,2010,2015,1,0,1,2015,-0.307907311,177,Male,79,TX,70-79
101124201,5,880,2012,2016,1,0.4,0,2016,0.788265854,176,Male,68,AR,60-69
100089209,15,875,2002,2016,1,0,0,2016,-0.350067818,87.5,Male,56,MI,50-59
101215037,4,863,2013,2016,1,0.75,0,2016,5.13079801,215.75,Unknown,56,FL,50-59
101510082,8,859,2009,2016,1,0.125,0,2016,-0.086564653,107.375,Male,56,IL,50-59
100805850,17,857,2000,2016,1,0.4,0,2016,1.800118007,85.7,Male,60,PA,50-59
100466670,5,855,2007,2011,1,0.2,5,2011,0.198018765,171,Male,52,UT,50-59
100506576,20,845,1997,2016,1,0,0,2016,-0.476549337,169,Male,42,CA,40-49
101257201,4,844,2013,2016,1,0.75,0,2016,6.079409404,211,Male,90,OH,80-89
100384543,30,840,1987,2016,1,0,0,2016,0.141804757,70,Male,37,CT,30-39
100026526,13,838.72,2004,2016,1,0.2,0,2016,0.408821297,83.872,Female,31,IN,30-39
100065176,11,837,1988,1998,1,0.363636364,18,1998,0.93391124,76.09090909,Female,48,LA,40-49
100031063,28,835.5,1982,2009,1,0.4375,7,2009,1.051149012,49.14705882,Unknown,23,IN,20-29
100833879,7,835,2010,2016,1,0,0,2016,0.342569073,119.2857143,Male,59,CA,50-59
101062765,6,832,2011,2016,1,0.2,0,2016,1.968760033,166.4,Female,71,LA,70-79
